id,symbol,side,entry_rsi,volume_ratio,entry_time,exit_time,exit_reason,pnl_pct,pnl_amount,source,created_at,entry_price,exit_price,quantity,hold_minutes,entry_hour,day_of_week
108,SBIN,SHORT,73.08131653963977,1.4523534207561242,2026-06-18T14:00:00+05:30,2026-06-18T15:15:00+05:30,EOD square-off,0.047938638542665384,7.0,backtest,2026-06-18 15:16:27,,,,,,
181,INFY,LONG,23.69380139419802,7.413342775270907,2026-06-18T09:15:00+05:30,2026-06-18T15:15:00+05:30,EOD square-off,-0.2565690524639356,-37.69999999999823,backtest,2026-06-18 15:16:32,,,,,,
210,HDFCBANK,SHORT,73.45531718801959,1.6950577991527314,2026-06-18T09:30:00+05:30,2026-06-18T13:45:00+05:30,RSI mid-line exit,0.4572502348888164,65.69999999999959,backtest,2026-06-18 15:16:35,,,,,,
107,SBIN,SHORT,70.39318151514144,2.754085193516094,2026-06-17T15:15:00+05:30,2026-06-18T11:45:00+05:30,stop loss (-1.56%),-1.5586945932781295,-224.0,backtest,2026-06-18 15:16:27,,,,,,
143,TCS,SHORT,81.2583125813871,4.869850812397174,2026-06-17T09:15:00+05:30,2026-06-17T15:15:00+05:30,EOD square-off,0.0,0.0,backtest,2026-06-18 15:16:30,,,,,,
180,INFY,SHORT,75.97169209421153,2.0949120546208024,2026-06-17T09:15:00+05:30,2026-06-17T15:15:00+05:30,EOD square-off,0.18994992229321753,26.400000000000546,backtest,2026-06-18 15:16:32,,,,,,
209,HDFCBANK,SHORT,70.57085602460282,1.109290398447968,2026-06-17T11:15:00+05:30,2026-06-17T14:15:00+05:30,RSI mid-line exit,0.7002712762601672,99.89999999999918,backtest,2026-06-18 15:16:35,,,,,,
76,RELIANCE,SHORT,73.3747602733579,1.2247850013484236,2026-06-16T10:15:00+05:30,2026-06-16T15:15:00+05:30,EOD square-off,-0.5981676383735794,-86.8999999999985,backtest,2026-06-18 15:16:25,,,,,,
142,TCS,SHORT,71.05329430305164,2.4395868418735818,2026-06-16T09:30:00+05:30,2026-06-16T15:15:00+05:30,EOD square-off,-0.3011910737918089,-39.599999999999454,backtest,2026-06-18 15:16:30,,,,,,
179,INFY,SHORT,70.80025686930338,1.4775312092773722,2026-06-16T10:15:00+05:30,2026-06-16T11:15:00+05:30,RSI mid-line exit,1.0361340879408003,154.70000000000118,backtest,2026-06-18 15:16:32,,,,,,
75,RELIANCE,SHORT,87.93516274706228,7.092405500602446,2026-06-15T09:15:00+05:30,2026-06-15T15:15:00+05:30,EOD square-off,0.44197211003581155,63.7999999999995,backtest,2026-06-18 15:16:25,,,,,,
178,INFY,SHORT,78.02476385251764,1.573134439647664,2026-06-15T10:45:00+05:30,2026-06-15T15:15:00+05:30,EOD square-off,0.9334380179708668,139.1000000000006,backtest,2026-06-18 15:16:32,,,,,,
106,SBIN,SHORT,78.08726523744177,4.175818630050742,2026-06-15T09:15:00+05:30,2026-06-15T15:00:00+05:30,RSI mid-line exit,0.8650014578676344,124.60000000000127,backtest,2026-06-18 15:16:27,,,,,,
208,HDFCBANK,SHORT,85.60186194481626,5.391589531571938,2026-06-15T09:15:00+05:30,2026-06-15T15:00:00+05:30,RSI mid-line exit,1.34027821889093,200.44999999999914,backtest,2026-06-18 15:16:35,,,,,,
141,TCS,SHORT,71.65875711427765,3.54166618765247,2026-06-15T09:15:00+05:30,2026-06-15T14:15:00+05:30,RSI mid-line exit,0.32669212717988144,42.60000000000218,backtest,2026-06-18 15:16:30,,,,,,
74,RELIANCE,SHORT,70.54597009289252,1.541259923624236,2026-06-12T13:45:00+05:30,2026-06-12T15:15:00+05:30,EOD square-off,-1.1626999609832298,-163.900000000001,backtest,2026-06-18 15:16:24,,,,,,
140,TCS,SHORT,71.49082321167248,1.181932113215153,2026-06-12T11:00:00+05:30,2026-06-12T15:15:00+05:30,EOD square-off,0.11093136122024919,14.400000000000546,backtest,2026-06-18 15:16:30,,,,,,
207,HDFCBANK,SHORT,72.52580805729778,1.4063914846663303,2026-06-12T13:30:00+05:30,2026-06-12T15:15:00+05:30,EOD square-off,-0.9019018364812876,-131.10000000000173,backtest,2026-06-18 15:16:35,,,,,,
139,TCS,LONG,22.93555977682837,2.9874196524505763,2026-06-11T09:15:00+05:30,2026-06-11T15:15:00+05:30,EOD square-off,0.6358327053504145,94.5,backtest,2026-06-18 15:16:30,,,,,,
177,INFY,LONG,10.109229022253217,3.216610639131852,2026-06-11T09:15:00+05:30,2026-06-11T15:15:00+05:30,EOD square-off,0.4666606838373908,67.60000000000059,backtest,2026-06-18 15:16:32,,,,,,
176,INFY,LONG,27.37626652889371,1.8243511732982283,2026-06-10T14:30:00+05:30,2026-06-10T15:15:00+05:30,EOD square-off,-0.26155187445510025,-39.0,backtest,2026-06-18 15:16:32,,,,,,
206,HDFCBANK,SHORT,74.75507280766661,1.556842859771205,2026-06-10T13:00:00+05:30,2026-06-10T15:15:00+05:30,EOD square-off,0.8091258787637648,115.90000000000043,backtest,2026-06-18 15:16:35,,,,,,
105,SBIN,SHORT,71.04121799259423,1.798568936202906,2026-06-10T09:15:00+05:30,2026-06-10T14:00:00+05:30,RSI mid-line exit,0.5202655831929441,73.5,backtest,2026-06-18 15:16:27,,,,,,
